"Scientific.Name","NAMES.FROM.FISHBASE","EXPERT.NAME","X","cat","dan","deu","ell","eng","fra","gla","gle","ita","nld","nno","nob","por","spa","sqi","swe","ces","cym","fin","hun","mkd","mlt","pol","ron","slv","srp","tur","bre","heb","nor","rus","ukr","ara","eus","hrv","lit","jpn","vie","isl","cos","glg","oci","sme","bul","slk","wol","NA","tah","afr","fij","kor","msa","sin","smo","som","tam","tgl","zho"
"Sardina pilchardus","Pilchard, Sardine",NA,"Fish4life","sardina","Europæisk sardin","Pilchard",NA,"European pilchard","Sardine D'Europe",NA,"An pilséar","Sardina","Pelser",NA,NA,"Sardinha","Majuga","Sardelë","Sardin",NA,"Penwaig Mair","Sardiini",NA,NA,"Nemusa (juvenile)","Sardynka europejska","Sardea","Sardela","Sardela","Sardalya",NA,NA,"Sardin",NA,NA,NA,"sardina",NA,NA,NA,NA,"Sardinur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sardinella aurita","Sardinelle",NA,"Fish4life","alatxa",NA,"Ohrensardine","Φρίσσα","Bang","Allache",NA,NA,"Alaccia","Ansjovis",NA,NA,"Sardinela","Alacha","Sardinele",NA,NA,NA,"Kultasardiini",NA,NA,"Lacca tal-faxx","Sardynela hiszpanska","Sardinela rotunda","Velika sardela","Srdela golema","Sardalya",NA,NA,"Sardinella",NA,"Сардинела кругла",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sardinella maderensis","Madeira-Sardinelle",NA,"Fish4life",NA,NA,"Madeira-Sardinelle","Φρίσσα Μαδέρας","Herring","Grande allache",NA,NA,"alaccia africana","Madeira-sardinella",NA,NA,"Sardinela-da-Madeira","Arenque",NA,NA,NA,NA,NA,NA,NA,"Lacci afrikana","Eba","Eba",NA,NA,"tirsi",NA,"טרית גסה",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sarpa salpa","Goldstrieme, Salpe",NA,"Fish4life","aurada grisenca","Okseøjefisk","Goldstrieme","Σάλπα","Gold Line","Saupe",NA,NA,"Salpa","Gestreepte bokvis",NA,NA,"Salema","Cagona","Salpe","Oxögonfisk",NA,"Salpaod","Boga",NA,NA,"Gwiela (young)","Salpa",NA,"Salpa","Salpa","Sarpan",NA,"סלפית צהובת-פסים","Okseøyefisk","Морской карась сальпа","Морський карась сальпа",NA,"salpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scomber japonicus","Blasenmakrele, Japanische Makrele, Mittelmeer-Makrele, Mittelmeermakrele, Spanische Makrele, Thunmakrele",NA,"Fish4life","bis","Spansk makrel","Blasenmakrele",NA,"Atlantic chub mackerel","Bis",NA,NA,"Cavallo","Spaanse makreel",NA,NA,"Cavala","Barat","Kolo","Japansk makrill",NA,"Mecryll Sbaen","Espanjanmakrilli",NA,NA,"Kavall","Makrela kolias","Colios","Lokarda","Bilica","Kolyoz",NA,NA,"Spansk makrell",NA,NA,NA,NA,NA,NA,NA,NA,"Spánskur makrill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scomber scombrus","Atlantische Makrele, Gemeine Makrele, Makrele",NA,"Fish4life",NA,"Almindelig makrel","Atlantische Makrele",NA,"Atlantic Mackerel","Maquereau commun",NA,"An ronnach","Lacerta","Atlantische makreel","bolt","geir","Cavalla","Caballa","Skumbri","Makrill","makrela obecná","Mecryll","Makrilli",NA,NA,"Kavall","Makrela","Macrou","Skuša","Skusa","Uskumru","breghel",NA,"Makrell","makrel",NA,NA,NA,NA,NA,NA,NA,"Makríll",NA,"cabala",NA,"makrealla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scophthalmus maximus","Steinbutt",NA,"Fish4life",NA,"Pighvarre","Haandreiß","Σιάκι","Breet","Turbot",NA,"An turbard","Rombo chiodato","Tarbot","piggvar","piggkarv","Pregado","Rodaballo","Shkoter","Piggvar",NA,NA,"Piikkikampela",NA,NA,"Barbun imperjali","Skarp a. turbot",NA,"Romb","Plat","Civili Kalkan","turoden",NA,"Piggvar","tyurbo",NA,NA,NA,NA,NA,NA,NA,"Sandhverfa",NA,NA,NA,NA,"Черноморски калкан",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scyllarides latus","Grosser B�renkrebs",NA,"",NA,NA,"Großer Bärenkrebs","caravida","Mediterranean slipper lobster","Grande cigale de mer (La), Grande cigale (La), Cigale courte (La), Grosse cigale (La), Scyllare large (Le), Homard plat (Le)",NA,NA,"cicala di mare","grote beerkreeft",NA,NA,"carrasco","cigala gran","gaforre si pantofle",NA,NA,NA,NA,NA,NA,"ccala hamra",NA,NA,"veliki nagajivec",NA,"büyük ayı istakozu",NA,NA,NA,"большой рак-медведь","Лобстер королівський","farzit","Santio handia",NA,"platusis scylaridas",NA,NA,NA,NA,NA,"Gran cigala de mar (La), Macietta (La)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sepia officinalis","Gemeiner, Gemeiner tintenfisch, Sepie, Tintenfisch",NA,"Fish4life",NA,"Sepiablæksprutte","Gemeine Sepia","Corsica","Common Cuttlefish","Casseron",NA,NA,"Scarpetta","Gewone inktvis",NA,NA,"Choco","Aluda",NA,NA,NA,NA,"Mustekala",NA,NA,"Sicca",NA,NA,NA,NA,"Sübye",NA,"Dyonon Refui",NA,"Kora katitza",NA,"Sabbidije",NA,NA,NA,"Mongo-ika",NA,NA,NA,NA,NA,NA,"Sepija",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seriola dumerili","Bernstein-Stachelmakrele, Bernsteinfisch, Gr�nel",NA,"Fish4life",NA,NA,NA,NA,"Allied Kingfish","Amber couvailli",NA,NA,"Ricciola","barnsteenmakreel",NA,NA,"Charuteiro-catarino","Atún Medregal","Gofa","Seriola",NA,NA,"Isopiikkimakrilli",NA,NA,"Accola (adult)","Seriola olbrzymia",NA,"Gof","Orhan","Sarikuyruk baligi",NA,NA,"Seriola",NA,NA,"Jib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siganus luridus","Brauner Kaninchenfisch",NA,"Fish4life",NA,NA,NA,"Μαύρη αγριόσαλπα","Dusky spinefoot","Sigan sombre",NA,NA,NA,NA,NA,NA,NA,"Sigano nebuloso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sokar baligi",NA,"סיכן הודי",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siganus rivulatus","Rotmeer-Kaninchenfisch",NA,"Fish4life",NA,"Plettet kaninfisk",NA,"Agriosalpa aspri","Marbled spinefoot","Cordonnier blanc",NA,NA,"sigano","draakvis",NA,NA,"Macua","Sigan marbré",NA,NA,NA,NA,NA,NA,NA,"Qawsalla","Sygan marmurkowy",NA,NA,NA,"esmer sokar baligi",NA,"סיכן משויש",NA,NA,NA,"Abu Chawke abiad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Solea sole?","Seezunge, Zunge",NA,"Fish4life",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sparisoma cretense","Papageifisch, Seepapagei",NA,"Fish4life",NA,NA,"Europäischer Papageifisch","Σκάρος","European parrotfish","Perroquet vieillard, Perroquet",NA,NA,"pesce pappagallo","Griekse papegaaivis",NA,NA,"veja","Loro Viejo",NA,"kretensisk papegojfisk",NA,NA,NA,NA,NA,"Martzpan",NA,NA,NA,NA,"iskaroz",NA,"תוכידג כרתי",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphyraena sphyraena","Barracuda, Europ�ischer Barrakuda, Gemeiner Pfeilhecht, Mittelmeerbarrakuda, Pfeilhecht",NA,"Fish4life",NA,"Barrakuda","Barracuda","Λούτσος","European barracuda","Brochet de mer",NA,NA,"Barracuda","Barracuda","europeisk barrakuda","europeisk barrakuda","Barracuda-europeia","Barracuda","Shtize","Barracuda",NA,NA,"Barrakuda",NA,NA,"Alluzz","Barrakuda europejska","Luci","Barakuda","Barakuda skaram","turna baligi",NA,"אספירנה חלקה","Barrakuda","Барракуда европейская","Барракуда європейська",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphyraena viridensis","Geb�nderter Barrakuda",NA,"Fish4life",NA,"barracuda",NA,NA,"Yellow Barracuda","Brochet de l'Atlantique",NA,NA,"alluzo","Europese barracuda",NA,NA,"bicuda","Espetón Boca Amarilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"turna baligi",NA,"אספירנה פסוסה","Europeisk barracuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spicara maena","Laxierfisch, Pikarelle, Schnauzenbrassen",NA,"Fish4life",NA,NA,NA,"menoula","Blotched picarel","Mendole",NA,NA,"mennola","gevlekte pikarel",NA,NA,"Trombeiro choupa","Chucla","Maridhe",NA,NA,NA,NA,NA,NA,"Arznell (male)",NA,NA,"Modrak",NA,"beyazgoz",NA,"מינון הכתם",NA,"Смарида средиземноморская","Смарида середземноморська",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spicara smaris","Schnauzen-Pikarelle, Smaris",NA,"Fish4life",NA,NA,NA,"Μαρίδα","Deep-body Pickarel","Picarel",NA,NA,"zerro","pikarel",NA,NA,"Trombeiro-boga","Caramel","Maridhë",NA,NA,NA,NA,NA,NA,"Arznella (male)",NA,"Smarid","Girica",NA,"istrangiloz",NA,"מינון שלוח",NA,"Обыкновенная смарида","Смарида звичайна",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
