"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","class","acceptedUsageKey","synonym","verbatim_name","verbatim_index"
2390262,"Siganus luridus (Rüppell, 1829)","Siganus luridus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Siganidae","Siganus","Siganus luridus",1,44,NA,587,5066,2390168,2390262,NA,NA,NA,"Siganus luridus",85
2390185,"Siganus rivulatus Forsskål & Niebuhr, 1775","Siganus rivulatus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Siganidae","Siganus","Siganus rivulatus",1,44,NA,587,5066,2390168,2390185,NA,NA,NA,"Siganus rivulatus",86
NA,NA,NA,NA,NA,100,"NONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Solea sole?",87
2393905,"Sparisoma cretense (Linnaeus, 1758)","Sparisoma cretense","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Scaridae","Sparisoma","Sparisoma cretense",1,44,NA,587,4504,2393893,2393905,NA,NA,NA,"Sparisoma cretense",88
2394271,"Sphyraena sphyraena (Linnaeus, 1758)","Sphyraena sphyraena","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sphyraenidae","Sphyraena","Sphyraena sphyraena",1,44,NA,587,5069,2369201,2394271,NA,NA,NA,"Sphyraena sphyraena",89
2394222,"Sphyraena viridensis Cuvier, 1829","Sphyraena viridensis","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sphyraenidae","Sphyraena","Sphyraena viridensis",1,44,NA,587,5069,2369201,2394222,NA,NA,NA,"Sphyraena viridensis",90
2393205,"Spicara maena (Linnaeus, 1758)","Spicara maena","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Spicara","Spicara maena",1,44,NA,587,5068,2393204,2393205,NA,NA,NA,"Spicara maena",91
2393236,"Spicara smaris (Linnaeus, 1758)","Spicara smaris","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Spicara","Spicara smaris",1,44,NA,587,5068,2393204,2393236,NA,NA,NA,"Spicara smaris",92
5188986,"Spisula subtruncata (da Costa, 1778)","Spisula subtruncata","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Venerida","Mactridae","Spisula","Spisula subtruncata",1,52,137,9310756,3454,2286425,5188986,"Bivalvia",NA,NA,"Spisula subtruncata",93
2392356,"Spondyliosoma cantharus (Linnaeus, 1758)","Spondyliosoma cantharus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Spondyliosoma","Spondyliosoma cantharus",1,44,NA,587,5068,2392351,2392356,NA,NA,NA,"Spondyliosoma cantharus",94
5729646,"Spondylus gaederopus Linnaeus, 1758","Spondylus gaederopus","SPECIES","ACCEPTED",85,"FUZZY","Animalia","Mollusca","Pectinida","Spondylidae","Spondylus","Spondylus gaederopus",1,52,137,9250425,6868,2285804,5729646,"Bivalvia",NA,NA,"Sponylus gaederopus",95
9069902,"Squatina Duméril, 1805","Squatina","GENUS","ACCEPTED",94,"HIGHERRANK","Animalia","Chordata","Squatiniformes","Squatinidae","Squatina",NA,1,44,121,882,2185,9069902,NA,"Elasmobranchii",NA,NA,"Squatina spp",96
5193428,"Thais haemastoma (Linnaeus, 1767)","Thais haemastoma","SPECIES","SYNONYM",98,"EXACT","Animalia","Mollusca","Neogastropoda","Muricidae","Stramonita","Stramonita haemastoma",1,52,225,982,2304120,2304356,2304357,"Gastropoda",2304357,NA,"Thais haemastoma",97
9694948,"Thunnus alalunga (Bonnaterre, 1788)","Thunnus alalunga","SPECIES","ACCEPTED",97,"EXACT","Animalia","Chordata","Perciformes","Scombridae","Thunnus","Thunnus alalunga",1,44,NA,587,8596,2373932,9694948,NA,NA,NA,"Thunnus alalunga",98
2300446,"Tonna galea (Linnaeus, 1758)","Tonna galea","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Littorinimorpha","Tonnidae","Tonna","Tonna galea",1,52,225,7390893,2661,2300443,2300446,"Gastropoda",NA,NA,"Tonna galea",99
5210674,"Trachinotus ovatus (Linnaeus, 1758)","Trachinotus ovatus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Carangidae","Trachinotus","Trachinotus ovatus",1,44,NA,587,4253,2391252,5210674,NA,NA,NA,"Trachinotus ovatus",100
5210490,"Trachurus picturatus (Bowdich, 1825)","Trachurus picturatus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Carangidae","Trachurus","Trachurus picturatus",1,44,NA,587,4253,5428896,5210490,NA,NA,NA,"Trachurus picturatus",101
2394370,"Uranoscopus scaber Linnaeus, 1758","Uranoscopus scaber","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Uranoscopidae","Uranoscopus","Uranoscopus scaber",1,44,NA,587,8603,2369638,2394370,NA,NA,NA,"Uranoscopus scaber",102
NA,NA,NA,NA,NA,100,"NONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Venerus spp",103
2397850,"Xiphias gladius Linnaeus, 1758","Xiphias gladius","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Xiphiidae","Xiphias","Xiphias gladius",1,44,NA,587,8604,2397849,2397850,NA,NA,NA,"Xiphias gladius",104
5192644,"Charonia tritonis (Linnaeus, 1758)","Charonia tritonis","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Littorinimorpha","Charoniidae","Charonia","Charonia tritonis",1,52,225,7390893,9252056,3246910,5192644,"Gastropoda",NA,NA,"Charonia tritonis",105
2278845,"Paracentrotus lividus (Lamarck, 1816)","Paracentrotus lividus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Echinodermata","Camarodonta","Parechinidae","Paracentrotus","Paracentrotus lividus",1,50,221,5964707,4876684,2278844,2278845,"Echinoidea",NA,NA,"Paracentrotus lividus",106
5210496,"Trachurus mediterraneus (Steindachner, 1868)","Trachurus mediterraneus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Carangidae","Trachurus","Trachurus mediterraneus",1,44,NA,587,4253,5428896,5210496,NA,NA,NA,"Trachurus mediterraneus",107
2374161,"Scomber colias Gmelin, 1789","Scomber colias","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Scombridae","Scomber","Scomber colias",1,44,NA,587,8596,2374148,2374161,NA,NA,NA,"Scomber colias",108
2392508,"Sparus aurata Linnaeus, 1758","Sparus aurata","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Sparus","Sparus aurata",1,44,NA,587,5068,2356661,2392508,NA,NA,NA,"Sparus aurata",109
